"日付","終値","始値","高値","安値","出来高","変化率 %"
"2015-06-25","32,000","30,266","32,000","29,020","0.00K","5.73%"
"2015-06-26","31,700","32,000","32,000","31,700","0.00K","-0.94%"
"2015-06-27","30,620","31,700","31,704","30,550","0.00K","-3.41%"
"2015-06-28","30,870","30,800","31,220","30,800","0.00K","0.82%"
"2015-06-29","31,550","30,870","31,550","30,870","0.00K","2.20%"
"2015-06-30","32,850","31,550","32,950","31,500","0.00K","4.12%"
"2015-07-01","31,960","32,850","32,850","31,770","0.00K","-2.71%"
"2015-07-02","31,720","31,790","32,420","31,500","0.00K","-0.75%"
"2015-07-03","31,790","31,720","32,020","31,500","0.00K","0.22%"
"2015-07-04","31,800","31,790","31,960","31,700","0.00K","0.03%"
"2015-07-05","32,950","31,800","33,340","31,800","0.03K","3.62%"
"2015-07-06","33,330","32,950","34,040","32,950","0.00K","1.15%"
"2015-07-07","33,340","34,000","34,000","33,200","0.01K","0.03%"
"2015-07-08","33,900","33,340","33,900","32,500","0.01K","1.68%"
"2015-07-09","34,080","33,900","34,530","33,415","0.01K","0.53%"
"2015-07-10","35,890","34,530","37,480","33,750","0.01K","5.31%"
"2015-07-11","36,000","35,890","36,860","35,890","0.00K","0.31%"
"2015-07-12","38,290","36,000","38,290","36,000","0.00K","6.36%"
"2015-07-13","35,000","60,000","62,000","34,900","0.01K","-8.59%"
"2015-07-14","36,000","36,150","38,000","35,600","0.00K","2.86%"
"2015-07-15","35,900","35,900","36,920","35,900","0.00K","-0.28%"
"2015-07-16","34,100","35,980","36,000","34,100","0.00K","-5.01%"
"2015-07-17","34,600","34,100","35,800","34,100","0.01K","1.47%"
"2015-07-18","34,500","34,600","34,800","34,500","0.00K","-0.29%"
"2015-07-19","34,600","34,500","34,800","34,310","0.01K","0.29%"
"2015-07-20","34,046","34,046","34,800","34,046","0.03K","-1.60%"
"2015-07-21","34,810","34,800","35,420","34,800","0.01K","2.24%"
"2015-07-22","34,930","34,810","35,080","34,410","0.02K","0.34%"
"2015-07-23","34,800","34,930","35,040","34,790","0.02K","-0.37%"
"2015-07-24","35,809","34,790","35,810","34,640","0.04K","2.90%"
"2015-07-25","36,020","35,809","36,450","35,640","0.08K","0.59%"
"2015-07-26","36,340","36,200","36,690","35,930","0.03K","0.89%"
"2015-07-27","36,000","36,340","36,610","35,650","0.09K","-0.94%"
"2015-07-28","36,550","36,520","36,820","36,450","0.18K","1.53%"
"2015-07-29","36,520","36,541","36,660","35,805","0.22K","-0.08%"
"2015-07-30","35,800","35,870","36,279","35,480","0.47K","-1.97%"
"2015-07-31","35,280","35,800","36,050","35,160","0.08K","-1.45%"
"2015-08-01","35,070","35,280","35,725","34,880","0.02K","-0.60%"
"2015-08-02","34,940","34,880","35,110","34,287","0.01K","-0.37%"
"2015-08-03","35,280","34,940","35,330","34,840","0.01K","0.97%"
"2015-08-04","35,250","35,280","35,710","35,170","0.01K","-0.09%"
"2015-08-05","35,310","35,250","35,880","35,250","0.02K","0.17%"
"2015-08-06","34,980","35,490","35,490","34,820","0.05K","-0.93%"
"2015-08-07","35,101","34,980","35,200","34,690","0.09K","0.35%"
"2015-08-08","32,950","35,200","35,200","32,950","0.12K","-6.13%"
"2015-08-09","33,180","32,950","33,430","32,550","0.03K","0.70%"
"2015-08-10","33,370","33,180","33,610","33,180","0.10K","0.57%"
"2015-08-11","33,740","33,370","33,740","33,060","0.13K","1.11%"
"2015-08-12","33,520","33,740","33,983","33,520","0.06K","-0.65%"
"2015-08-13","33,710","33,520","33,830","33,110","0.09K","0.57%"
"2015-08-14","33,350","33,710","33,710","33,270","0.05K","-1.07%"
"2015-08-15","33,119","33,350","33,710","33,119","0.10K","-0.69%"
"2015-08-16","32,750","33,119","33,119","32,310","0.05K","-1.11%"
"2015-08-17","32,331","32,750","32,750","32,250","0.03K","-1.28%"
"2015-08-18","31,520","32,458","32,458","31,500","0.10K","-2.51%"
"2015-08-19","29,530","31,520","31,520","28,500","0.22K","-6.31%"
"2015-08-20","29,600","28,500","29,720","28,500","0.11K","0.24%"
"2015-08-21","29,085","29,720","29,720","29,030","0.05K","-1.74%"
"2015-08-22","28,530","29,085","29,320","28,070","0.11K","-1.91%"
"2015-08-23","28,410","28,320","28,870","28,320","0.02K","-0.42%"
"2015-08-24","26,200","28,410","28,420","26,200","0.18K","-7.78%"
"2015-08-25","27,110","26,200","27,530","20,000","0.23K","3.47%"
"2015-08-26","27,500","27,110","28,490","27,100","0.12K","1.44%"
"2015-08-27","27,900","28,159","28,190","27,650","0.08K","1.45%"
"2015-08-28","28,770","27,710","28,870","27,391","0.13K","3.12%"
"2015-08-29","28,490","28,790","28,920","28,260","0.15K","-0.97%"
"2015-08-30","28,197","28,540","28,750","28,071","0.11K","-1.03%"
"2015-08-31","28,300","28,197","28,550","28,122","0.03K","0.37%"
"2015-09-01","28,000","28,550","28,630","28,000","0.01K","-1.06%"
"2015-09-02","28,210","28,000","28,210","27,890","0.02K","0.75%"
"2015-09-03","28,050","28,210","28,240","27,750","0.04K","-0.57%"
"2015-09-04","27,850","28,010","28,090","27,740","0.03K","-0.71%"
"2015-09-05","28,020","27,850","28,450","27,740","0.07K","0.61%"
"2015-09-06","29,000","28,140","29,400","28,140","0.07K","3.50%"
"2015-09-07","29,120","29,000","29,170","28,940","0.14K","0.41%"
"2015-09-08","29,518","29,033","29,580","28,940","0.56K","1.37%"
"2015-09-09","28,840","29,509","29,509","28,840","0.31K","-2.30%"
"2015-09-10","29,230","28,840","29,350","28,740","0.38K","1.35%"
"2015-09-11","29,362","29,230","29,500","29,209","0.28K","0.45%"
